date,trend11teamsports
2017-10-01,22
2017-10-02,22
2017-10-03,31
2017-10-04,18
2017-10-05,12
2017-10-06,20
2017-10-07,20
2017-10-08,27
2017-10-09,16
2017-10-10,23
2017-10-11,27
2017-10-12,19
2017-10-13,10
2017-10-14,17
2017-10-15,17
2017-10-16,17
2017-10-17,20
2017-10-18,16
2017-10-19,10
2017-10-20,27
2017-10-21,25
2017-10-22,11
2017-10-23,22
2017-10-24,16
2017-10-25,21
2017-10-26,18
2017-10-27,26
2017-10-28,25
2017-10-29,21
2017-10-30,19
2017-10-31,22
2017-11-01,27
2017-11-02,21
2017-11-03,23
2017-11-04,24
2017-11-05,45
2017-11-06,23
2017-11-07,23
2017-11-08,23
2017-11-09,25
2017-11-10,17
2017-11-11,39
2017-11-12,9
2017-11-13,27
2017-11-14,31
2017-11-15,20
2017-11-16,25
2017-11-17,17
2017-11-18,21
2017-11-19,22
2017-11-20,17
2017-11-21,17
2017-11-22,26
2017-11-23,53
2017-11-24,100
2017-11-25,27
2017-11-26,41
2017-11-27,40
2017-11-28,24
2017-11-29,32
2017-11-30,11
2017-12-01,33
2017-12-02,27
2017-12-03,29
2017-12-04,22
2017-12-05,31
2017-12-06,33
2017-12-07,25
2017-12-08,30
2017-12-09,29
2017-12-10,31
2017-12-11,17
2017-12-12,24
2017-12-13,24
2017-12-14,31
2017-12-15,31
2017-12-16,12
2017-12-17,22
2017-12-18,22
2017-12-19,25
2017-12-20,13
2017-12-21,10
2017-12-22,12
2017-12-23,16
2017-12-24,18
2017-12-25,19
2017-12-26,19
2017-12-27,16
2017-12-28,21
2017-12-29,22
2017-12-30,16
2017-12-31,15
2018-01-01,11
2018-01-02,25
2018-01-03,21
2018-01-04,20
2018-01-05,12
2018-01-06,12
2018-01-07,26
2018-01-08,14
2018-01-09,14
2018-01-10,15
2018-01-11,11
2018-01-12,25
2018-01-13,23
2018-01-14,33
2018-01-15,21
2018-01-16,19
2018-01-17,9
2018-01-18,8
2018-01-19,20
2018-01-20,19
2018-01-21,19
2018-01-22,16
2018-01-23,25
2018-01-24,22
2018-01-25,23
2018-01-26,24
2018-01-27,19
2018-01-28,20
2018-01-29,26
2018-01-30,25
2018-01-31,16
2018-02-01,20
2018-02-02,14
2018-02-03,29
2018-02-04,32
2018-02-05,15
2018-02-06,28
2018-02-07,26
2018-02-08,16
2018-02-09,16
2018-02-10,24
2018-02-11,36
2018-02-12,20
2018-02-13,13
2018-02-14,22
2018-02-15,26
2018-02-16,19
2018-02-17,20
2018-02-18,22
2018-02-19,16
2018-02-20,21
2018-02-21,20
2018-02-22,13
2018-02-23,11
2018-02-24,25
2018-02-25,30
2018-02-26,21
2018-02-27,21
2018-02-28,18
2018-03-01,22